name,price, Product Dimensions , Item Weight , ASIN , Item model number , Batteries ,Customer Reviews, Date First Available , Manufacturer , Country of Origin , Wireless Carrier ,  OS  , Cellular Technology ,  Connectivity technologies  , Wireless network technology , Connector Type ,  Form Factor  , Biometric Security Feature , Human Interface Input , Shooting Modes , GPS , Water Resistance Level ,  Audio Jack  , Special Feature , Battery Capacity , Battery Description , Battery Power , Front Photo Sensor Resolution , Rear Camera Resolution , Other camera features , Optical Sensor Resolution , Screen Size , Scanner Resolution , Display Type , Display Resolution Maximum , SIM card slot count , SIM card size , Memory Storage Capacity , Ram Memory Installed Size , Memory Slots Available , Brand , Model Name , Year , Model Number ,  Whats in the box  ,  Weight  , Item Dimensions LxWxH , Color , Warranty Description , Phone Talk Time , Battery Life , Charging Time , Video Capture Resolution , CPU Manufacturer , Operating System , Connectivity Technology , Form Factor , Headphones Jack , Included Components , Refresh Rate , Resolution , Frame Rate , CPU Speed , Effective Video Resolution , Compatible Devices , Aspect Ratio , Camera Flash , Aperture Modes , Lens Type , CPU Model 
        Motorola Moto G Stylus | 2022 | 2-Day Battery | Unlocked | Made for US 4/128GB | 50MP Camera | Twilight Blue       ,119.00, 6.69 x 2.99 x 0.35 inches , 7.6 ounces , B0CBNLS6BD , PAT40012US , 1 Lithium Ion batteries required. (included) ," 

 
   4.2  4.2 out of 5 stars    
    269 ratings   


 4.2 out of 5 stars "," July 11, 2023 ", Motorola , China ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Motorola Moto G Stylus 5G | 2021 | 2-Day Battery | Unlocked | Made for US 4/128GB | 48MP Camera | Cosmic Emerald       ,129.99,,,,,,,, Motorola ,, Unlocked for All Carriers , Android 11.0 , 5G ," Networks + Bands 5G: 2/5/25/26/41/66/71/77/78 4G: 1/2/3/4/5/7/8/12/13/14/17/18/19/20/25/26/29/30/38/39/40/41/48/66/71 3G: 1/2/4/5/8 Bluetooth Technology Bluetooth 5.0 Wi-Fi Wi-Fi 802.11 a/b/g/n/ac | 2.4GHz & 5GHz | Wi-Fi hotspot Location Services GPS (L1), A-GPS, LTEEP, SUPL, GLONASS, Galileo, Beidou SIM Card Single SIM (1 Nano SIM + 1 microSD) ", GSM , 3.5mm Jack , Smartphone touch screen , Fingerprint Recognition , Touchscreen , Automatic , True , Water Resistant , 3.5 mm ," Expandable Memory, Always On Display, Built-In GPS, Mobile Hotspot Capability, Water Resistant ", 5000 , Lithium-Ion , 5000 , 16 MP , 16 MP , 48 MP Quad Camera System , 48 MP , 6.8 Inches , 1920 x 1080 , LCD , 1080x2400 Pixels , Single SIM , Nano , 4 GB , 4 GB , yes , Motorola , Moto G Stylus 5G , 2021 , PAN00015US ," Stylus Pen, SIM Tool, Charger, USB Type-C cable ", 0.01 Pounds , 6.64 x 2.98 x 0.36 inches , Cosmic Emerald , 1 year US Warranty ,,,,,,,,,,,,,,,,,,,,,
"        TracFone Motorola Moto g Pure, 32GB, Blue - Prepaid Smartphone (Locked)       ",,,,,,,,, MOTOROLA INC ,, Tracfone , Android 11.0 , 4G ," Bluetooth, Wi-Fi, USB "," Wi-Fi, CDMA, LTE ", USB Type C , Bar , Fingerprint Recognition , Touchscreen , Night Mode , True , Water Repellent ,," Voice Dialing, Fingerprint Sensor, WiFi Calling, Handsfree Speaker ", 4000 , Lithium-Ion , 4000 , 13 MP , 5 MP , Rear , 5 MP , 6.5 Inches , 1600×720 , LCD , 1600×720 Pixels ,,, 32 GB ,,, TracFone , Moto G Pure , 2021 , XT2163DL ," Service Guide, Quick Start Guide, Wall Charger, Moto g PURE, USB Cable ", 0.8 Pounds , 1.43 x 6.31 x 8.25 inches , Blue , 1 Year Warranty , 30 Hours , 30 Hours , 3 Hours , FHD@30fps , Android 11 ,,,,,,,,,,,,,,,,
"        TCL 40XL 2023 Unlocked Cell Phone 4GB + 128GB, 6.75"" Display, Smartphone Android 13, 50MP AI Camera Mobile Phone, 5000 mAh, 4G LTE, US Version, Dark Gray       ",139.99,, 6.88 Ounces ,,,,,, TCL ,, Unlocked ,, 4G ,," GSM, Wi-Fi, LTE ", USB Type C ,, Fingerprint Recognition ,, Macro ,, Not Water Resistant ,," Touchscreen, Expandable Memory, Camera, Smartphone, Built-In GPS ", 5000 Milliamp Hours , Lithium-Polymer , 5000 Milliampere Hour (mAh) ,,," Rear, Front ",, 6.75 Inches ,, LCD ,, Single SIM ,, 128 GB , 4 GB ,, TCL , TCL 40XL , 2023 ,,,, 6.61 x 3.01 x 0.35 inches , Dark Grey , 1 year manufacturer ,,,,,, Android 13.0 , Wi-Fi , Bar , 3.5 mm ," 1 x TCL 40XL Cell Phone, 1 x Quick Guide, 1 x LCD Sticker, 1 x Type-C Cable, 1 x 18W Charger (9V 2A) ",,,,,,,,,,,
"        SAMSUNG Galaxy A54 5G A Series Cell Phone, Unlocked Android Smartphone, 128GB, 6.4” Fluid Display Screen, Pro Grade Camera, Long Battery Life, Refined Design, US Version, 2023, Awesome Black       ",324.99,,,,,,,, SAMSUNG ,, Unlocked for All Carriers , Android 13.0 , 5G ," Bluetooth, Wi-Fi, USB, NFC "," GSM, Wi-Fi ", USB Type C , Bar , Fingerprint Recognition , Touchscreen ,,, Water Resistant ,,, 5000 , Lithium-Ion , 18 , 32 MP , 50 MP ," Rear, Front ",, 6.4 Inches ,, AMOLED , 1080 x 2340 Pixels , Dual SIM , eSIM , 128 GB , 6 GB , 1 , SAMSUNG , Galaxy A54 5G , 2023 , SM-A546UZKBXAA ," SIM Tray Ejector, USB Cable ", 202 Grams , 0.32 x 3.02 x 6.23 inches , Black , 1 Year Manufacturer ,, 10 Hours ,, 1080p ,,,,,,, 120 Hz ,,,,,,,,,,
"        SAMSUNG Galaxy S23 FE Cell Phone, 128GB, Unlocked Android Smartphone, Long Battery Life, Premium Processor, Tough Gorilla Glass Display, Hi-Res 50MP Camera, US Version, 2023, Cream       ",449.99,,,,,,,, Samsung ,, Unlocked for All Carriers ,, 5G ,," GSM, CDMA ", USB Type C ,, Fingerprint Recognition ," Touchscreen, Microphone, Buttons ", High Dynamic Range , True , Water Resistant ,," Fast Charging Support, Built-In GPS, Wireless Charging, Water Resistant ",, Lithium-Ion , 4500 , 10 MP , 8 MP , Front ,, 6.4 Inches ,, Dynamic Amoled , 2340 x 1080 Pixels , Single SIM ,, 128 GB , 8 GB ,, SAMSUNG , Galaxy S23 FE , 2023 , SM-S711UZWAXAA ,,, 0.32 x 3.01 x 6.22 inches , Cream , 1 Year Manufacturer , 33 Hours ,,, 8k ,," One UI, Android 13.0 "," Bluetooth, Wi-Fi, USB, NFC ", Bar , USB-C ," Galaxy S23 FE, SIM Tray Ejector, Charging Cable (USB type C) - Cable only, Quick Start Guide ",," 2340 x 1080 , Refresh Rate 120Hz, 1,500nits(peak) ",,,,,,,,,
        Bold N3 | 2023 | 5G | 3-Day Battery | Unlocked | 6.78” FHD+3D AMOLED Display | 256/8GB | Triple AI 50MP | NFC Capable | US Version | US Warranty | Sage Green       ,249.99,,,,,,,, BLU ,, Unlocked for All Carriers , Android 13 , 5G , Wireless ,,,, Fingerprint Recognition ,, Macro ,, Water Resistant ,,,, Lithium-Ion , 4700 Milliamp Hours ,,, Front ,, 6.7 Inches , 1920 x 1080 , AMOLED ,,,, 256 GB , 8 GB ,, BLU , N3 ,,,, 0.18 Ounces ,, Green ,,,,,,,,,,,,,,,,,,,,,,
"        Google Pixel 8 - Unlocked Android Smartphone with Advanced Pixel Camera, 24-Hour Battery, and Powerful Security - Obsidian - 128 GB       ",549.00,,,,,,,, Google ,, Unlocked for All Carriers , Android 13.0 , 5G ," Bluetooth, Wi-Fi, NFC ", Wi-Fi , USB Type C , Slate , Fingerprint Recognition , Touchscreen , Macro , True , Water Resistant ,,,, Lithium-Ion , 4575 , 10.5 MP ,," Rear, Front ",, 6.2 Inches , 1080 x 2400 , OLED , 1080 x 2400 , Dual SIM ,, 128 GB , 8 GB ,, Google , Pixel 8 , 2023 , G9BQD ," SIM Tray Ejector, Quick Switch Adapter, 1m USB-C to USB-C cable ", 0.41 Pounds , 5.92 x 2.79 x 0.35 inches , Obsidian , 1 year manufacturer ,,,," 1080p, 4k ",,,,,,, 120 Hz ,," 24 fps, 30 fps, 60 fps ",,,,,,,,
        Motorola Moto G Pure | 2021 | 2-Day battery | Unlocked | Made for US by Motorola | 3/32GB | 13MP Camera | Deep Indigo       ,99.99,, 188 Grams ,,,,,, Motorola ,, Unlocked for All Carriers ,," GSM, LTE-less ",," GSM, CDMA, LTE ", USB Type C ,, Fingerprint Recognition , Touchscreen , Automatic , True , Water Resistant ,," Bluetooth Enabled, Video Calling, Text/Messaging, Expandable Memory, Camera, Fingerprint Sensor, Smartphone, Built-In GPS, Mobile Hotspot Capability ", 4000 Milliamp Hours , Lithium-Ion , 4000 , 5 MP , 13 MP ," Rear, Front ", 13 MP , 6.5 Inches ,,,, Single SIM , Micro , 32 GB , 3 GB , 1 , Motorola , Moto G Pure , 2021 , PARU0003US ,,, 7.01 x 3.54 x 1.73 inches , Deep Indigo , US Warranty ,, 3 days ,,,, Android 11.0 ," Bluetooth, Wi-Fi ", smartphone , 3.5 mm ," Moto G Pure (32GB) unlocked, SIM Tray Ejector, Guides, 10W Charger, USB Cable ",, HD+ (1600x720) | 269ppi ,, 2.4 GHz ,,,,,,,
        BLU C5L MAX | 2023 | All-Day Battery | Unlocked | 5.7” Display | 16/2GB |US Version | US Warranty | Black       ,,,,,,,,, BLU ,, Unlocked , Android , 4G , Bluetooth USB Wi-Fi ," GSM, Wi-Fi, CDMA, LTE ", Micro USB , Smartphone , Fingerprint Recognition ,,,, Water Resistant ,,, 2000 Milliamp Hours , 3800 mah ,, 2 MP ,, Front ,, 5.7 Inches ,, LCD ,, Dual SIM ,, 16 GB , 2 GB ,, BLU , C5L Max , 2019 ,," Adapter, USB Cable ", 0.39 Pounds , 9.25 x 6.75 x 3.25 inches , Black ,,,,,, Quad-Core ARM-Cortex A53 ,,,,,,,,,,,,,,,,
"        SIMPLE Mobile Motorola Moto g PURE, 32GB, Blue - Prepaid Smartphone (Locked)       ",,,,,,,,, MOTOROLA INC ,, Simple Mobile , Android 11.0 , 5G ," Bluetooth, Wi-Fi, USB "," GSM, LTE ", USB Type C , Smartphone , Fingerprint Recognition , Touchscreen ,, True , Water Resistant ,,, 4000 Milliamp Hours , Lithium-Ion , 4000 ,, 13 MP ," Rear, Front ", 5 MP , 6.51 Inches ,, LCD , 1600 x 720 Pixels , Single SIM ,, 32 GB , 3 GB , 1 , Simple Mobile , Moto G Pure , 2022 , SMMTXT2163DCP ," User Manual, Service Guide, Charger, USB Cable ", 0.8 Pounds , 2.04 x 6.31 x 8.25 inches , BLUE , 1 Year Warranty ,, 34 Hours , 142 minutes ,, Android ,,,,,,,,, 2.3 GHz ,,,,,,,
"        Blackview Rugged Smartphone Unlocked, 2023 BV6200 Rugged Phones, 13000mAh Battery 18W Fast Charge, Android 13, 8GB+64GB/2TB Expand, Waterproof Mobile Phones, Three Card Slots, 6.56"" Display, T-Mobile       ",,,,,,,,, Blackview ,, Unlocked , Android , 4G , USB ,,, Smartphone , Face Recognition ,,," GPS, GALILEO, GLONASS, BEIDOU ", Water Resistant ,," 🔋13000mAh Battery & 18W Fast Charge, 🚀8GB RAM+64GB ROM/2TB Expand & 3 Card Slots, 🌈Support GPS & Beidou & GLONASS & Galileo Navigation System, 🌟IP68 & IP69K Professional Waterproof Certification & MIL-STD-810H Drop-proof 💖2-year Warranty, 🎈2023 Lastest Android 13 System🔔Dual SIM 4G🔎Google Lens ", 4000 Milliamp Hours , Lithium-Ion , 13000 Milliamp Hours ,,, Front ,, 6.5 Inches ,,,,,, 64 GB ,, 3 , Blackview , BV6200-Black ,, BV6200 Blackview phone 2023US ," ✔️User Manual * 1, ✔️SIM Tray Ejector * 1 (SIM Card is not included), ✔️Power Adaptor * 1, ✔️Type-C Cable *1, ✔️Blackview BV6200 Rugged Smartphone* 1 ",,, Black , 2-year warranty ,,,,,,,,,,,,,,,,,,,,,
        Google Pixel 7a - Unlocked Android Cell Phone - Smartphone with Wide Angle Lens and 24-Hour Battery - 128 GB – Charcoal       ,409.00,,,,,,,, Google ,, Unlocked for All Carriers , Android 13.0 , 5G ," Bluetooth, Wi-Fi, USB, NFC "," GSM, LTE ", USB Type C , Bar , Fingerprint Recognition , Touchscreen , Aperture Priority , True , Water Resistant ,," Dual SIM, Fast Charging, Wireless Charging, Water Resistant ", 4385 Milliamp Hours , Lithium-Ion , 4300 , 13 MP , 64 MP ," Rear, Front ",, 6.1 Inches ,, OLED , 1080 x 2400 Pixels , Dual SIM ,, 128 GB , 8 GB ,, Google , Pixel 7a , 2023 , GWKK3 ," SIM Tool, Quick Switch Adapter, Cell Phone, 1m USB-C to USB-C Cable, Quick Start Guide ", 0.43 Pounds , 6 x 2.8 x 0.4 inches , Charcoal , 1 year manufacturer ,,, 24 Hours ," 1080p, 4k ",,,,,,, 90 Hz ,,,, 60 fps ,,,,,,
"        SAMSUNG Galaxy A03 Core (SM-A032/DS) Dual SIM 32GB/ 2GB RAM, GSM Unlocked International Version - No Warranty - Black       ",80.90,,,,,,,, Samsung ,, Unlocked for All Carriers , Android 11.0 ," LTE, GSM,UMTS "," Bluetooth, Wi-Fi, USB "," GSM, LTE ", USB Type C , Slider , Fingerprint Recognition , Touchscreen ,,, Not Water Resistant , 3.5 mm ,, 5000 , Lithium-Ion , 5000 ,,, Front , 5 MP , 6.5 Inches , 720 x 1600 , LCD ,, Dual SIM ,, 32 GB , 2 GB , 1 , SAMSUNG , Galaxy A03 Core , 2021 , Samsung Galaxy A03 Core , USB Cable , 0.7 Pounds , 6.46 x 2.99 x 0.36 inches , Black , manufacturer ,, 98 Hours , 215 minutes ,,,,,,,,,,,,, UNLOCKED , 4:3 ,,,,
"        TracFone Motorola Moto g Play, 32GB, Black - Prepaid Smartphone (Locked)       ",90.76,,,,,,,, MOTOROLA INC ,, Tracfone , Android 12.0 , GSM/UMTS/LTE ," Bluetooth, Wi-Fi, USB "," GSM, Wi-Fi, LTE ", USB Type C , Bar , Fingerprint Recognition , Touchscreen ,, True , Water Repellent ,," Voice Dialing, Fingerprint Sensor, Handsfree Speaker ", 5000 , Lithium-Ion , 5000 , 2 MP , 5 MP , Rear , 5 MP , 6.5 Inches , 1600 × 720 , LCD , 1600x720 Pixels ,,, 32 GB , 3 GB ,, TracFone , Moto G Play , 2018 , XT2271DL ," Service Guide, Quick Start Guide, Moto G Play, USB Cable ", 12.8 Ounces , 1.5 x 6.31 x 8.25 inches , Black , 1 Year Warranty , 35 Hours , 35 Hours ,, FHD@30fps , Android 12 ,,,,,,,,, 2.3 GHz ,,,,,,,
"        Nokia C210 | T-Mobile, AT&T, Cricket | Android 13 | Unlocked Smartphone | All Day Battery | US Version | 3/32GB | 6.3-Inch Screen | 13MP Dual Camera | Charcoal       ",,,,,,,,, HMD Global Oy ,, Unlocked for All Carriers , Android 13.0 , 4G ," Bluetooth, Wi-Fi, USB "," GSM, CDMA, LTE "," USB Type C, 3.5mm Jack ", Slate , Fingerprint Recognition ," Touchscreen, Microphone, Buttons ", High Dynamic Range , True , Not Water Resistant , 3.5 mm ," Expandable Memory, Built-In GPS ", 3000 , Lithium-Ion , 3000 , 5 MP , 2 MP ," Rear, Front ",, 6.3 Inches ,,,,,,,,, Nokia , C210 , 2023 , TA-1584 ," Power Adapter, USB Cable ", 5.93 Ounces , 6.28 x 2.91 x 0.34 inches , Charcoal , 1 Year Manufacturer , 12 Hours , 12 Hours , 3 Hours , 1080p ,,,,,,,,, 30 fps ,, 13 MP ,,, LED , F2.4 , Wide Angle ,
"        TCL A30 Unlocked Smartphone with 5.5"" HD+ Display, 8MP Rear Camera, 32GB+3GB RAM, 3000mAh Battery, Android 11, Prime Black       ",79.99,,,,,,,, TCL ,, Unlocked for All Carriers , Android 11.0 , 4G , Bluetooth ," CDMA, LTE ", Micro USB , Smartphone , Face Recognition , Buttons ,,, Not Water Resistant ,,, 3000 Milliamp Hours , Lithium-Polymer , 3000 Milliampere Hour (mAh) ,, 8 MP ," Rear, Front "," 5.0, 8.0 MP ", 5.5 Inches , 1080p , LCD ,,,, 32 GB , 32 GB , 1 , TCL , TCL A30 , 2021 , 5102O-2AAZUS1 ," Type C Cable, Mobile Phone Case ", 171 Grams , 9.1 x 9.1 x 9.1 inches , Prime Black , 1 W ,,, 14 Hours ,,,,,,,,,,,,,,,,,,
"        Total by Verizon Motorola Moto g Pure, 32GB, Blue - Prepaid Smartphone (Locked)       ",,,,,,,,, MOTOROLA INC ,, Verizon , Android 11.0 , 4G ," Bluetooth, Wi-Fi, USB "," Wi-Fi, CDMA, LTE ", USB Type C , Bar , Fingerprint Recognition , Touchscreen , Night Mode , True , Water Repellent ,," Voice Dialing, Fingerprint Sensor, WiFi Calling, Handsfree Speaker ", 4000 , Lithium-Ion , 4000 , 13 MP , 5 MP , Rear , 5 MP , 6.5 Inches , 1600×720 , LCD , 1600×720 Pixels ,,, 32 GB ,,, Total by Verizon , Moto G Pure , 2021 , XT2163DL ," Service Guide, Quick Start Guide, Wall Charger, Moto g PURE, USB Cable ", 12.8 Ounces , 1.43 x 6.31 x 8.25 inches , Blue , 1 Year Warranty , 30 Hours , 30 Hours , 3 Hours , FHD@30fps , Android 11 ,,,,,,,,,,,,,,,,
"        Huness I14 Pro MAX Smartphone Unlocked Cell Phone, Battery 6800mAh 6.82"" HD Screen Unlocked Phones, 6+256GB Android 13 with 128GB Memory Card, Dual SIM/Fingerprint Lock/Face ID/GPS (Black)       ",,,,,,,,, Huness ,, Unlocked for All Carriers , Android 13.0 ," 5G,4G,3G ", Wi-Fi , Wi-Fi , USB Type C , Slider ,,,,,,,,,, 6800 Milliamp Hours ,,,,, 6.82 Inches ,, OLED ,,,, 256 GB , 6 GB ,, Huness , I14 PM ,,," Earphone, cell phone, Screen Protector, Phone Case, Power Adapter,Pen, Clip pin, IMEI ",,, Black , 1 ,,,,,,,,,,,,,,,,,,,,,
"        TCL 40 X 5G Unlocked Cell Phone, Android 13 Unlocked Phone, 5000 mAh Smartphone, 50MP Main Camera, 6.56 Inch HD+ Display, 4GB + 64GB Mobile Phone, U.S. Version, Starlight Black       ",170.99,,,,,,,, TCL ,, Unlocked , Android 13.0 , 5G , Wi-Fi , Wi-Fi , USB Type C , Bar , Fingerprint Recognition ,,,, Water Resistant , 3.5 mm ,, 5000 Milliamp Hours , Lithium-Ion , 5000 Milliamp Hours , 8 MP ,, Front ,, 6.56 Inches , 720 x 1600 , LCD ,, Single SIM , Nano , 64 GB , 4 GB ,, TCL , TCL 40 X 5G , 2023 ,," 1 x Quick Guide, 1 x Type-C Cable, 1 x TCL 40 X 5G Cell Phone, 1 x 18W Charger (9V 2A), 1 x SIM Card PIN ", 0.18 Ounces ,, Starlight Black , 1 year manufacturer warranty ,,,,,,,,,,, 90 Hz ,,,,,,,,,,
"        Total by Verizon Motorola Moto g Play, 32GB, Black - Prepaid Smartphone (Locked)       ",,,,,,,,, MOTOROLA INC ,, Total Wireless , Android 12.0 , GSM/UMTS/LTE ," Bluetooth, Wi-Fi, USB "," GSM, Wi-Fi, LTE ", USB Type C , Bar , Fingerprint Recognition , Touchscreen ,, True , Water Repellent ,," Voice Dialing, Fingerprint Sensor, Handsfree Speaker ", 5000 , Lithium-Ion , 5000 , 2 MP , 5 MP , Rear , 5 MP , 6.5 Inches , 1600 x 720 , LCD , 1600x720 Pixels ,,, 32 GB , 3 GB ,, Total by Verizon , Moto G Play ,, XT2271DL ," Service Guide, Quick Start Guide, Moto G Play, USB Cable ", 0.8 Pounds , 1.5 x 6.31 x 8.25 inches , Black , 1 Year Warranty , 35 Hours , 35 Hours ,, FHD@30fps , Android 12 ,,,,,,,,, 2.3 GHz ,,,,,,,
"        TCL 30 SE 6.52"" Unlocked Cell Phone, 4+64GB Android Phone GSM Unlocked Smartphone with 50MP Camera, 5000mAh, Single SIM, US Version, Atlantic Blue, Not Support Verizon/Boost/5G       ",116.99,,,,,,,, TCL ,, Unlocked , Android 12.0 , 4G , Bluetooth ," GSM, Wi-Fi, LTE ", USB Type C , Bar , Face Recognition , Touchscreen , Portrait , True , Water Resistant , 3.5 mm , Bluetooth Enabled , 5000 Milliamp Hours , Lithium-Polymer , 5000 Milliampere Hour (mAh) , 8 MP ," 50, 2, 2 MP "," Rear, Front ",, 6.52 Inches , 720 x 1600 , LCD , 720 x 1600 Pixels , Single SIM , Nano , 64 GB , 4 GB ,, TCL , TCL 30 SE , 2022 , 6165S ," 1 x Screen Protector, 1 x Quick Guide, 1 x Charger (5V 2A), 1 x TCL 30 SE Mobile Phone Case, 1 x Type-C Cable ", 190 Grams , 2.95 x 0.31 x 6.5 inches , Atlantic Blue ,,,,,, Midea Tek ,,,,,,,,,,,,,,,, MediaTek Helio 
"        TracFone Samsung Galaxy A03s, 32GB, Black - Prepaid Smartphone (Locked)       ",,,,,,,,, SAMSUNG ,, Tracfone , Android 11.0 , 4G ," Bluetooth, Wi-Fi, USB "," CDMA, LTE ", USB Type C , Bar , Face Recognition , Touchscreen ,, True , Not Water Resistant ,," Voice Dialing, Enhanced Voice Services, Fingerprint Sensor, WiFi Calling ", 5000 , Lithium-Ion , 5000 , 13 MP , 5 MP , Rear , 5 MP , 6.5 Inches , 720×1600 , LCD , 720×1600 Pixels ,,, 32 GB ,,, TracFone , Galaxy A03s , 2021 , S135DL ," Service Guide, Quick Start Guide, Samsung Galaxy A03s, USB Cable ", 0.8 Pounds , 1.43 x 6.31 x 8.25 inches , Black , 1 Year Warranty , 40 Hours , 40 Hours , 2.5 Hours , 1080p , Android 11 ,,,,,,,,, 2.3 GHz ,,,,,,,
"        TCL ION V |2023| Cell Phone with 6.0"" HD+ Display, 3+32GB Unlocked Phone, 3000mAh Battery, Android 13 Smartphone, Single SIM, US Version, Space Black       ",99.99,,,,,,,, TCL ,, Unlocked , Android 13.0 , 4G , Wi-Fi , Wi-Fi , USB Type C , Bar , Fingerprint Recognition ,,, True , Not Water Resistant , 3.5 mm ,, 3000 Milliamp Hours , Lithium-Ion , 3000 Milliampere Hour (mAh) , 5 MP ,," Rear, Front ",, 6 Inches , 720 x 1440 , LCD , 720*1440 Pixels , Single SIM , Nano , 32 GB , 3 GB ,, TCL , TCL ION V , 2023 ,," 1 x TCL ION V Cell Phone, 1 x Quick Guide, 1 x 5V2A charger, 1 x Type-C Standard cable, 1 x LCD Sticker ", 172 Grams ,, Space Black , 1 year manufacturer warranty ,,, 2.5 Hours ,,,,,,,,,,,,,,,,,,
